Queen Margot,1994,R,09 Dec 1994,161 min,"Biography, Drama, History",Patrice Chéreau,"Alexandre Dumas, Danièle Thompson, Patrice Chéreau","Isabelle Adjani, Daniel Auteuil, Jean-Hugues Anglade","Young Queen Margot finds herself trapped in an arranged marriage amidst a religious war between Catholics and Protestants. She hopes to escape with a new lover, but finds herself imprisoned by her powerful and ruthless family.","French, Italian","France, Germany, Italy",Nominated for 1 Oscar. 9 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BNTc4NTdjODgtZmI1MS00MDI5LWFhZjYtMjAzNTVhYzk1ZjFiXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
The Quick and the Dead,1995,R,10 Feb 1995,108 min,"Action, Drama, Romance",Sam Raimi,Simon Moore,"Sharon Stone, Gene Hackman, Russell Crowe","A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death.","English, Spanish","United States, Japan",1 nomination,https://m.media-amazon.com/images/M/MV5BOTI2ZTZmMmItMmM3YS00ZjUwLWJiODMtMmRjMWM4NDE0OWFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Roommates,1995,PG,03 Mar 1995,108 min,"Comedy, Drama",Peter Yates,"Max Apple, Stephen Metcalfe","Peter Falk, D.B. Sweeney, Julianne Moore",An elderly yet young-at-heart man moves in with his grandson and both their lives turn upside-down.,English,United States,Nominated for 1 Oscar. 2 nominations total,https://m.media-amazon.com/images/M/MV5BOGUyMmJjYzctNmYzYS00YmQ4LWEzYzEtNGIzNTdjOTg1MzA3XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
Ready to Wear,1994,R,25 Dec 1994,133 min,"Comedy, Drama",Robert Altman,"Robert Altman, Barbara Shulgasser","Sophia Loren, Julia Roberts, Marcello Mastroianni",A chronicle of the interconnected lives of a group of people in the lead up to Paris Fashion Week.,"English, French, Italian, Russian, Spanish",United States,3 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BZWMwN2RiZDQtN2RkNS00YzJkLWI2ODMtODk1MzQxODE4NzU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Three Colors: Red,1994,R,23 Nov 1994,99 min,"Drama, Mystery, Romance",Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland","Irène Jacob, Jean-Louis Trintignant, Frédérique Feder",A model discovers a retired judge is keen on invading people's privacy.,French,"France, Switzerland, Poland",Nominated for 3 Oscars. 18 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BYTg1MmNiMjItMmY4Yy00ZDQ3LThjMzYtZGQ0ZTQzNTdkMGQ1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Three Colors: Blue,1993,R,08 Sep 1993,94 min,"Drama, Music, Mystery",Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland","Juliette Binoche, Zbigniew Zamachowski, Julie Delpy",A woman struggles to find a way to live her life after the death of her husband and child.,"French, Romanian, Polish","France, Poland, Switzerland",21 wins & 18 nominations,https://m.media-amazon.com/images/M/MV5BZWU5NWQ2MWMtYmI4Ni00Yjk5LTk3ODktMDVlZGViNGUwN2M5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Three Colors: White,1994,R,10 Jun 1994,92 min,"Comedy, Drama, Romance",Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland","Zbigniew Zamachowski, Julie Delpy, Janusz Gajos","After his wife divorces him, a Polish immigrant plots to get even with her.","Polish, French, English","Switzerland, France, Poland",1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BMTc1ODkzOWItNmM4NS00OGQzLTg5NjctOThjY2M1MGI5ZTRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Rent-a-Kid,1995,G,04 Nov 1995,85 min,"Drama, Family, Comedy",Fred Gerber,Paul Bernbaum,"Leslie Nielsen, Christopher Lloyd, Matt McCoy","Harry Habert, owner of a rent office has an original idea: To rent babies from a nearby orphanage to the local families. He rents the Ward brothers to his first customers.",English,"Canada, United States",1 win,https://m.media-amazon.com/images/M/MV5BMjYwMzA3Njg2MF5BMl5BanBnXkFtZTcwOTI1NDMzMQ@@._V1_SX300.jpg
Relative Fear,1994,R,03 Oct 1995,94 min,"Drama, Horror, Thriller",George Mihalka,Kurt Wimmer,"Darlanne Fluegel, Martin Neufeld, James Brolin",Just why are people surrounding Adam Pratman dropping down dead? Is this five year old really a murderous sociopath?,English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BYTAyMDBkYTgtNzNhOC00ZWFmLWFlYjEtMzA0MGY4MDEwZjM2XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg
Stuart Saves His Family,1995,PG-13,12 Apr 1995,95 min,"Comedy, Drama",Harold Ramis,Al Franken,"Al Franken, Laura San Giacomo, Vincent D'Onofrio",A self-help advocate struggles to put his dysfunctional family in its place.,English,"Germany, United States",2 nominations,https://m.media-amazon.com/images/M/MV5BZWZiZWQ4NmMtYmVhYi00MDRhLWFjMmUtODA0NWFkMjdmNWQ5XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg
The Swan Princess,1994,G,18 Nov 1994,90 min,"Animation, Adventure, Comedy",Richard Rich,"Richard Rich, Brian Nissen","Jack Palance, Howard McGillin, Michelle Nicastro",A power-hungry sorcerer curses a princess to live as a swan by day in this tale of everlasting love.,English,United States,1 win & 8 nominations,https://m.media-amazon.com/images/M/MV5BNDM2OGM1MjAtYjA3Zi00NzEzLWFiOWMtYjg4MDdiMzYzMWVkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_SX300.jpg
The Secret of Roan Inish,1994,PG,03 Feb 1995,103 min,"Drama, Family, Fantasy",John Sayles,"Rosalie K. Fry, John Sayles","Jeni Courtney, Eileen Colgan, Mick Lally",Young Fiona lives with her grandparents in a small fishing village where she takes an active role to unravel the mysterious secrets.,"English, Irish Gaelic","United States, Ireland",1 win & 9 nominations,https://m.media-amazon.com/images/M/MV5BNmQ3Yzc5N2QtZDk3Yy00ZTVmLTg5ZTItMWFkZDUxOGJhMTYyXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
The Specialist,1994,R,07 Oct 1994,110 min,"Action, Drama, Thriller",Luis Llosa,"John Shirley, Alexandra Seros","Sylvester Stallone, Sharon Stone, James Woods",A woman entices a bomb expert she's involved with into destroying the mafia that killed her family.,English,United States,4 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BYzNlMWQ0NjQtMzc1MC00MGFkLThmMzctNmQ2MTljOTkyY2ZhXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg
Stargate,1994,PG-13,28 Oct 1994,116 min,"Action, Adventure, Sci-Fi",Roland Emmerich,"Dean Devlin, Roland Emmerich","Kurt Russell, James Spader, Jaye Davidson","An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.","English, Norwegian, Swedish, Egyptian (Ancient), Arabic","United States, France",6 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BYWEyYTQzNzQtZTg5OS00NDhkLTg1NjYtMzA5Y2MyYjYzNWQ5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
The Santa Clause,1994,PG,11 Nov 1994,97 min,"Comedy, Drama, Family",John Pasquin,"Leo Benvenuti, Steve Rudnick","Tim Allen, Judge Reinhold, Wendy Crewson","When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place.","English, Spanish","United States, Canada",2 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BMDU2ZGI4NTAtOWY0Mi00NTU2LTk1NDMtOTliMTlmOGIzMDRmXkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg
The Shawshank Redemption,1994,R,14 Oct 1994,142 min,Drama,Frank Darabont,"Stephen King, Frank Darabont","Tim Robbins, Morgan Freeman, Bob Gunton","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",English,United States,Nominated for 7 Oscars. 21 wins & 42 nominations total,https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_SX300.jpg
Shallow Grave,1994,R,10 Feb 1995,89 min,"Crime, Drama, Thriller",Danny Boyle,John Hodge,"Kerry Fox, Christopher Eccleston, Ewan McGregor",Three friends discover their new flatmate dead but loaded with cash.,English,United Kingdom,Won 1 BAFTA Award14 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZmVmOWVlODYtOTQ0Yy00ODY1LTgwZjMtYWFhOWQ3ODhmYjliL2ltYWdlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg
Suture,1993,Not Rated,24 Aug 1994,96 min,"Drama, Thriller","Scott McGehee, David Siegel","Scott McGehee, David Siegel","Dennis Haysbert, Mel Harris, Sab Shimono","After his brother tries to kill him, a man survives only to find himself in another man's body.",English,United States,2 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BOTc0ODlkMzEtNjE5My00ODA2LTg5ZjMtYWFjOTE1ZmNmMzk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Strawberry & Chocolate,1993,R,20 Jan 1995,108 min,"Comedy, Drama, Romance","Tomás Gutiérrez Alea, Juan Carlos Tabío","Tomás Gutiérrez Alea, Senel Paz","Jorge Perugorría, Vladimir Cruz, Mirta Ibarra","This Oscar-nominated film is the story of two men who are opposites: one gay, the other straight; one a fierce communist, the other a fierce individualist; one suspicious, the other accepting; and how they come to love each other.","Spanish, English, French","Mexico, Cuba, Spain",Nominated for 1 Oscar. 25 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMzhjMDQ1YTctNTNmNS00NDZjLWFjYjUtM2FhZTA2NmYxZjJlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
Swimming with Sharks,1994,R,21 Apr 1995,93 min,"Comedy, Crime",George Huang,George Huang,"Kevin Spacey, Frank Whaley, Michelle Forbes","A young, naive Hollywood studio assistant finally turns the tables on his incredibly abusive producer boss.",English,United States,4 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BZjNhZmVmZGQtMTQ3OS00YWEzLThjMWUtMWFiNjA3YzQ1Yjg0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Sum of Us,1994,R,08 Mar 1995,100 min,"Comedy, Drama","Geoff Burton, Kevin Dowling",David Stevens,"Jack Thompson, Russell Crowe, John Polson","A widowed father has to deal with two complex issues: while he is searching for ""Miss Right,"" his son, who is in his 20s and gay, is searching for ""Mr. Right.""",English,Australia,6 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BOTJiMDA4ZWYtZDNiOS00OGYyLWEyNWMtMjYxNzE3MjA0NzhiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
National Lampoon's Senior Trip,1995,R,08 Sep 1995,91 min,"Adventure, Comedy",Kelly Makin,"Roger Kumble, I. Marlene King","Matt Frewer, Valerie Mahaffey, Lawrence Dane","To embarrass his rival, a scheming senator uses nitwit Ohio teens who are invited to a Washington gathering on educational failure.",English,"Canada, United States",N/A,https://m.media-amazon.com/images/M/MV5BMzNjNDA3MjEtZDMzZi00YTIzLWE5MzYtYzg1NDE3MjNjMmY4XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
To Live,1994,Not Rated,16 Dec 1994,133 min,"Drama, War",Yimou Zhang,"Wei Lu, Hua Yu","You Ge, Gong Li, Ben Niu","After Fugui and Jiazhen lose their personal fortunes, they raise a family and survive difficult cultural changes during 1940s to 1970s China.",Mandarin,"Hong Kong, China",Won 1 BAFTA Award5 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BOGU0OGY2NWItNDA0MC00NmRjLWI4YWQtMTUyNWJmM2RmYjA4XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg
Tank Girl,1995,R,31 Mar 1995,104 min,"Action, Comedy, Sci-Fi",Rachel Talalay,"Alan Martin, Jamie Hewlett, Tedi Sarafian","Lori Petty, Ice-T, Naomi Watts","A girl is among the few survivors of a dystopian Earth. Riding a war tank, she fights against the tyranny of a mega-corporation that dominates the remaining potable water supply of the planet.",English,"United States, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BMzc0NjBmMzgtMTUxMS00YWFjLTk4NTYtNjE4NTJhOTU3ZTYwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
Tales from the Crypt: Demon Knight,1995,R,13 Jan 1995,92 min,"Action, Fantasy, Horror",Ernest R. Dickerson,"Ethan Reiff, Cyrus Voris, Mark Bishop","Billy Zane, William Sadler, Jada Pinkett Smith",High-level demons collect low-level demons as warriors in attempt to obtain a key containing the blood of Christ. The key is guarded by immortal warriors called Demon Knights.,English,United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BNGM3N2VmNDQtNWMwNC00MDI5LThhNzYtNTlkZjkwZTJlNTRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Star Trek: Generations,1994,PG,18 Nov 1994,118 min,"Action, Adventure, Mystery",David Carson,"Gene Roddenberry, Rick Berman, Ronald D. Moore","Patrick Stewart, William Shatner, Malcolm McDowell","With the help of long presumed dead Captain Kirk, Captain Picard must stop a deranged scientist willing to murder on a planetary scale in order to enter a space matrix.","English, Klingon",United States,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BOTk5Mjg4MzktZTczNC00ZWI3LWFlNjgtNjgwZDQwOGU5NmQ3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Tales from the Hood,1995,R,24 May 1995,98 min,"Crime, Drama, Horror",Rusty Cundieff,"Rusty Cundieff, Darin Scott","Clarence Williams III, Corbin Bernsen, Joe Torry",A funeral director tells four strange tales of horror with an African American focus to three drug dealers he traps in his place of business.,English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMDZjYTMzZDEtYjJkNS00MTI1LTgyZDctM2FlYjk2NDMyNTQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Tom & Viv,1994,PG-13,15 Apr 1994,115 min,"Biography, Drama, Romance",Brian Gilbert,"Michael Hastings, Adrian Hodges","Willem Dafoe, Miranda Richardson, Rosemary Harris","In 1915, Tom and Viv elope, but her gynecological and emotional problems disrupt their honeymoon. Her father is angry because Tom's poetry doesn't bring in enough to live, but her mother is happy Viv has found a tender and discree...",English,United Kingdom,Nominated for 2 Oscars. 3 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BZDYzOGZlNzUtMGQ4Mi00OTVmLWEyMWYtN2Q4ZjE4N2MwZjg0XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
Village of the Damned,1995,R,28 Apr 1995,98 min,"Horror, Sci-Fi, Thriller",John Carpenter,"John Wyndham, Stirling Silliphant, Wolf Rilla","Christopher Reeve, Kirstie Alley, Linda Kozlowski",A small town's women give birth to unfriendly alien children posing as humans.,English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BZGZiNjQyOGUtNjQ2Ny00MzUxLWI1NDUtMDNlMjBiNjcwMTNkXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Tommy Boy,1995,PG-13,31 Mar 1995,97 min,"Adventure, Comedy",Peter Segal,"Bonnie Turner, Terry Turner","Chris Farley, David Spade, Brian Dennehy","After his auto-parts tycoon father dies, the overweight, underachieving son teams up with a snide accountant to try and save the family business.",English,"United States, Canada",1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BNTMwZGU3MGUtZWE0Ni00YzExLWIyY2MtMmNmMDlmYTdmNzFkXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg
Vanya on 42nd Street,1994,PG,19 Oct 1994,119 min,"Comedy, Drama, Romance",Louis Malle,"Anton Chekhov, David Mamet, Andre Gregory","Wallace Shawn, Phoebe Brand, George Gaynes","New York actors rehearse Chekhov's ""Uncle Vanya"" in a dilapidated theatre.",English,United States,3 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BZDQ1ODk1NDEtOWRkYi00ZTcyLThjNTItZTZlN2VkYTRiNGFkXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg
The Underneath,1995,R,28 Apr 1995,99 min,"Crime, Thriller",Steven Soderbergh,"Don Tracy, Steven Soderbergh, Daniel Fuchs","Peter Gallagher, Elisabeth Shue, Alison Elliott",A recovering gambling addict attempts to reconcile with his family and friends but finds trouble and temptation when caught between feelings for his ex-wife and her dangerous hoodlum boyfriend.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYTU5MjRlMGYtNWRhZS00YjA2LTllNjMtMWZmNzhjNjQ2OWU4XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
The Walking Dead,1995,R,24 Feb 1995,88 min,"Action, Drama, War",Preston A. Whitmore II,Preston A. Whitmore II,"Allen Payne, Eddie Griffin, Joe Morton","1972 Vietnam, a small group of United States Marines relive flashbacks of their contrite lives prior to serving in the military while being left to survive behind enemy lines.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNGZiMzlhMDItMmUxOC00NzA1LTkyMzItMzRhMmZjOWM0ZjBhXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
What's Eating Gilbert Grape,1993,PG-13,04 Mar 1994,118 min,Drama,Lasse Hallström,Peter Hedges,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis",A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,English,United States,Nominated for 1 Oscar. 8 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BY2EyZDlhNjItODYzNi00Mzc3LWJjOWUtMTViODU5MTExZWMyL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Virtuosity,1995,R,04 Aug 1995,106 min,"Action, Crime, Sci-Fi",Brett Leonard,Eric Bernt,"Denzel Washington, Russell Crowe, Kelly Lynch","When a virtual reality simulation created using the personalities of multiple serial killers manages to escape into the real world, an ex-cop is tasked with stopping its reign of terror.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BZWRmMTNlZDEtZTExYi00Y2E4LTg5YjItODFlNWY0Mzc4MDZlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
While You Were Sleeping,1995,PG,21 Apr 1995,103 min,"Comedy, Drama, Romance",Jon Turteltaub,"Daniel G. Sullivan, Fredric Lebow","Sandra Bullock, Bill Pullman, Peter Gallagher",A hopelessly romantic Chicago Transit Authority token collector is mistaken for the fiancée of a coma patient.,English,United States,4 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMGI5OGRiNTgtYzdkNS00N2E1LTgxMmQtYTQyNjk4YmEyM2IzXkEyXkFqcGdeQXVyNDQ0MTYzMDA@._V1_SX300.jpg
The War,1994,PG-13,04 Nov 1994,126 min,"Drama, History, War",Jon Avnet,Kathy McWorter,"Elijah Wood, Kevin Costner, Mare Winningham",A Vietnam veteran helps his kids battle over a tree house while recovering from his traumatic war experience.,English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BNzdiNTFjMWYtOWUyYi00NTI3LTk5MzYtNTUzMGY3MDM3NTMxXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
Double Happiness,1994,PG-13,28 Jul 1995,87 min,"Drama, Romance",Mina Shum,Mina Shum,"Sandra Oh, Stephen Chang, Alannah Ong","East clashes with West and generations collide as a young Chinese woman struggles to appease her old-fashioned father, and at the same time pursue her modern dreams.","English, Cantonese",Canada,6 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BNDY0YzhmYTItOTZhNy00ZGMyLTg2ZDgtM2QxMmVlYjdhMGUzXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg
Muriel's Wedding,1994,R,31 Mar 1995,106 min,"Comedy, Drama",P.J. Hogan,P.J. Hogan,"Toni Collette, Rachel Griffiths, Bill Hunter","A young social outcast in Australia steals money from her parents to finance a vacation where she hopes to find happiness, and perhaps love.",English,"Australia, France",Nominated for 1 BAFTA Award9 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BNTU2M2Q0YzktZGE4MC00YTQ1LWJmZGUtYzdjZTdiODBkY2ZmXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg
The Baby-Sitters Club,1995,PG,18 Aug 1995,94 min,"Comedy, Drama, Family",Melanie Mayron,"Ann M. Martin, Dalene Young","Schuyler Fisk, Bre Blair, Rachael Leigh Cook",Seven junior-high-school girls organize a daycare camp for children while at the same time experiencing classic adolescent growing pains.,"English, Swiss German",United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BNWY3MmIxYTItY2RhMy00ZGRkLTkwMTEtZGE0OTcxMjgxN2U3XkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg
Ace Ventura: Pet Detective,1994,PG-13,04 Feb 1994,86 min,Comedy,Tom Shadyac,"Jack Bernstein, Tom Shadyac, Jim Carrey","Jim Carrey, Courteney Cox, Sean Young",A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.,English,United States,5 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BYmVhNmFmOGYtZjgwNi00ZGQ0LThiMmQtOGZjMDUzNzJhMGIzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
"The Adventures of Priscilla, Queen of the Desert",1994,R,10 Aug 1994,104 min,"Comedy, Music",Stephan Elliott,Stephan Elliott,"Hugo Weaving, Guy Pearce, Terence Stamp",Two drag performers and a transgender woman travel across the desert to perform their unique style of cabaret.,"English, Filipino",Australia,Won 1 Oscar. 11 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BMTc5MDU1NzcyN15BMl5BanBnXkFtZTcwMDA0ODYyNA@@._V1_SX300.jpg
Backbeat,1994,R,15 Apr 1994,100 min,"Biography, Drama, Music",Iain Softley,"Iain Softley, Michael Thomas, Stephen Ward","Stephen Dorff, Sheryl Lee, Ian Hart","A dramatization of the Hamburg, Germany phase of The Beatles' early history.","English, German, French, Russian","United Kingdom, Germany",Won 1 BAFTA Award5 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BZjg3MmI5ZTEtNTcwMi00NzNiLTg4NTAtZWFlOTQ1OWRmM2MyXkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_SX300.jpg
Bitter Moon,1992,R,18 Mar 1994,139 min,"Drama, Romance, Thriller",Roman Polanski,"Pascal Bruckner, Roman Polanski, Gérard Brach","Hugh Grant, Kristin Scott Thomas, Emmanuelle Seigner","After hearing stories of her, a passenger on a cruise ship develops an irresistible infatuation with an eccentric paraplegic's wife.","English, French","France, United Kingdom",1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BYTIxZGE5Y2MtZWRkNC00YzkxLTljN2YtZTIzYjFjOTlhYzc5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Bullets Over Broadway,1994,R,24 Feb 1995,98 min,"Comedy, Crime",Woody Allen,"Woody Allen, Douglas McGrath","John Cusack, Dianne Wiest, Jennifer Tilly","In New York in 1928, a struggling playwright is forced to cast a mobster's talentless girlfriend in his latest drama in order to get it produced.",English,United States,Won 1 Oscar. 22 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BMTkzOWI3MjQtMzBjMi00ZTA0LTkyYmQtNDcxMTdlZGEzNTY3XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg
Clear and Present Danger,1994,PG-13,03 Aug 1994,141 min,"Action, Crime, Drama",Phillip Noyce,"Tom Clancy, Donald E. Stewart, Steven Zaillian","Harrison Ford, Willem Dafoe, Anne Archer",CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,"English, Spanish",United States,Nominated for 2 Oscars. 3 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BM2NlMTk4MzMtZTRmMS00ZWM1LWFjZGUtNmRmYTZjZjg1OTBlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
The Client,1994,PG-13,20 Jul 1994,119 min,"Crime, Drama, Mystery",Joel Schumacher,"John Grisham, Akiva Goldsman, Robert Getchell","Susan Sarandon, Tommy Lee Jones, Brad Renfro",A young boy who witnessed the suicide of a mafia lawyer hires an attorney to protect him when the District Attorney tries to use him to take down a mob family.,English,United States,Nominated for 1 Oscar. 3 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BNGY1NTU2NGUtMDNhZS00ZjE0LWE4ODItZWRmZTkwYjYwMTQ0XkEyXkFqcGdeQXVyMTEwNDU1MzEy._V1_SX300.jpg
"Corrina, Corrina",1994,PG,26 Aug 1994,115 min,"Comedy, Drama, Romance",Jessie Nelson,Jessie Nelson,"Ray Liotta, Whoopi Goldberg, Tina Majorino","In 1959, a widower hires a kindly housekeeper/nanny to care for his seven-year-old daughter.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BZTQ2YjBkMjctZDMyOC00YWRjLTg1ODAtM2ZlZDhkNWRiZTk2XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
Crooklyn,1994,PG-13,13 May 1994,115 min,"Comedy, Drama",Spike Lee,"Joie Lee, Spike Lee, Cinqué Lee","Alfre Woodard, Delroy Lindo, David Patrick Kelly","Spike Lee's vibrant semi-autobiographical portrait of a school teacher, her stubborn jazz musician husband and their five kids living in Brooklyn in 1973.","English, Italian, Spanish",United States,3 nominations,https://m.media-amazon.com/images/M/MV5BYWEyM2Q3NDktM2E2Ni00OWIyLWIyYmItMWEyOGRmN2FkZjQ3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
The Crow,1994,R,13 May 1994,102 min,"Action, Crime, Drama",Alex Proyas,"James O'Barr, David J. Schow, John Shirley","Brandon Lee, Michael Wincott, Rochelle Davis",A man brutally murdered comes back to life as an undead avenger of his and his fiancée's murder.,English,United States,5 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BM2Y4ZGVhZjItNjU0OC00MDk1LWI4ZTktYTgwMWJkNDE5OTcxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Cobb,1994,R,02 Dec 1994,128 min,"Biography, Drama, Sport",Ron Shelton,"Al Stump, Ron Shelton","Tommy Lee Jones, Robert Wuhl, Lolita Davidovich",A reporter hired to write the 'official' biography of Ty Cobb discovers just how dark the baseball legend's real story is.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMzg5YzgwMjgtOWFiYy00YmEyLWJlY2EtZjg5YWQwOTlkMTBlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
